Subspace,Breakdown,Sig,Impact,Type,Breakdown_value
BMW;*;1986,Body,0.548086808,4.87E-05,Point,sedan
BMW;*;1985,Body,0.548138182,0.000178936,Point,sedan
BMW;*;1993,Body,0.548381481,0.000546681,Point,sedan
BMW;*;1983,Body,0.548084753,4.57E-05,Point,other
Mercedes-Benz;*;1991,Body,0.548203941,0.000280128,Point,sedan
Mercedes-Benz;*;1999,Body,0.545549782,0.002056521,Point,van
Mercedes-Benz;*;2003,Body,0.546040917,0.005062033,Point,sedan
Mercedes-Benz;*;2007,Body,0.530011767,0.01603532,Point,sedan
Mercedes-Benz;*;2011,Body,0.550074554,0.027758818,Point,sedan
Mercedes-Benz;*;2016,Body,0.351086731,0.097289312,Point,crossover
Mercedes-Benz;*;1997,Body,0.54853659,0.001730104,Point,sedan
Mercedes-Benz;*;2006,Body,0.545875879,0.006708272,Point,sedan
Mercedes-Benz;*;2012,Body,0.530061455,0.018368402,Point,sedan
Mercedes-Benz;*;1994,Body,0.548452987,0.000598511,Point,sedan
Mercedes-Benz;*;2008,Body,0.488539959,0.020642781,Point,crossover
Mercedes-Benz;*;2001,Body,0.542969714,0.003941078,Point,sedan
Mercedes-Benz;*;2013,Body,0.53595077,0.029326337,Point,crossover
Mercedes-Benz;*;1998,Body,0.547808348,0.001437525,Point,sedan
Mercedes-Benz;*;2010,Body,0.545367033,0.012826498,Point,sedan
Mercedes-Benz;*;1989,Body,0.548097494,6.48E-05,Point,sedan
Mercedes-Benz;*;2009,Body,0.54481227,0.007210503,Point,crossover
Mercedes-Benz;*;1996,Body,0.54811377,0.001099249,Point,sedan
Mercedes-Benz;*;2014,Body,0.526198752,0.025341129,Point,sedan
Mercedes-Benz;*;2000,Body,0.544619338,0.003911226,Point,sedan
Mercedes-Benz;*;2004,Body,0.544416897,0.005308842,Point,sedan
Mercedes-Benz;*;1987,Body,0.548088041,8.14E-05,Point,sedan
Mercedes-Benz;*;1990,Body,0.548086397,4.81E-05,Point,sedan
Mercedes-Benz;*;2005,Body,0.541248917,0.005727158,Point,sedan
Mercedes-Benz;*;1995,Body,0.548430806,0.000742869,Point,sedan
Mercedes-Benz;*;2002,Body,0.542788664,0.003233798,Point,sedan
Mercedes-Benz;*;2015,Body,0.54406095,0.023408914,Point,sedan
