subspace1,subspace2,breakdown,correlation
*;*;,BMW;*;,Year,0.9938094800532227
*;*;,Ford;*;,Year,0.7133634297054656
*;*;,GMC;*;,Year,0.9508366589559549
*;*;,Honda;*;,Year,0.6356544244670105
*;*;,Hyundai;*;,Year,-0.015100258582478404
*;*;,Mazda;*;,Year,0.9905839116538557
*;*;,Toyota;*;,Year,0.70045070411141
*;*;,Volkswagen;*;,Year,0.5143881730852674
*;*;,*;Compact;,Year,0.837731981888608
*;*;,*;Fullsize;,Year,0.9620274648802181
*;*;,*;Midsize;,Year,0.9642525682937919
*;*;,*;Sporty;,Year,0.8777818244753078
*;*;,*;Subcompact;,Year,0.5021038435854991
*;*;,*;SUV;,Year,0.8564556456370765
*;*;,*;Pickup;,Year,0.9755947757131337
*;*;,*;MPV;,Year,-0.3623412168960587
*;*;,BMW;Compact;,Year,0.851257416086742
*;*;,BMW;Fullsize;,Year,0.9176296764450337
*;*;,BMW;Midsize;,Year,-0.6602370719920384
*;*;,BMW;Sporty;,Year,0.8583527471416966
*;*;,BMW;Subcompact;,Year,-0.2249139021436271
*;*;,BMW;SUV;,Year,0.7613782156023222
*;*;,BMW;Pickup;,Year,nan
*;*;,BMW;MPV;,Year,nan
*;*;,Ford;Compact;,Year,0.4209748785935196
*;*;,Ford;Fullsize;,Year,0.9596425606021838
*;*;,Ford;Midsize;,Year,-0.32915459257557333
*;*;,Ford;Sporty;,Year,0.87858713279561
*;*;,Ford;Subcompact;,Year,0.06816423854984613
*;*;,Ford;SUV;,Year,0.7645144371227649
*;*;,Ford;Pickup;,Year,0.8798246415358874
*;*;,Ford;MPV;,Year,nan
*;*;,GMC;Compact;,Year,nan
*;*;,GMC;Fullsize;,Year,nan
*;*;,GMC;Midsize;,Year,nan
*;*;,GMC;Sporty;,Year,nan
*;*;,GMC;Subcompact;,Year,nan
*;*;,GMC;SUV;,Year,0.6338703978767946
*;*;,GMC;Pickup;,Year,0.9664817158009787
*;*;,GMC;MPV;,Year,nan
*;*;,Honda;Compact;,Year,nan
*;*;,Honda;Fullsize;,Year,nan
*;*;,Honda;Midsize;,Year,0.6016692733927405
*;*;,Honda;Sporty;,Year,nan
*;*;,Honda;Subcompact;,Year,0.45051838570336017
*;*;,Honda;SUV;,Year,0.9802656371462617
*;*;,Honda;Pickup;,Year,nan
*;*;,Honda;MPV;,Year,nan
*;*;,Hyundai;Compact;,Year,-0.16372896393779343
*;*;,Hyundai;Fullsize;,Year,nan
*;*;,Hyundai;Midsize;,Year,0.08501308702333044
*;*;,Hyundai;Sporty;,Year,nan
*;*;,Hyundai;Subcompact;,Year,-0.9398549810589198
*;*;,Hyundai;SUV;,Year,0.6513783495671187
*;*;,Hyundai;Pickup;,Year,nan
*;*;,Hyundai;MPV;,Year,nan
*;*;,Mazda;Compact;,Year,0.9155222326134381
*;*;,Mazda;Fullsize;,Year,nan
*;*;,Mazda;Midsize;,Year,0.810555131280174
*;*;,Mazda;Sporty;,Year,nan
*;*;,Mazda;Subcompact;,Year,0.056710652436513444
*;*;,Mazda;SUV;,Year,0.9118158490872611
*;*;,Mazda;Pickup;,Year,nan
*;*;,Mazda;MPV;,Year,-0.3623412168960587
*;*;,Toyota;Compact;,Year,nan
*;*;,Toyota;Fullsize;,Year,nan
*;*;,Toyota;Midsize;,Year,0.6554907399649329
*;*;,Toyota;Sporty;,Year,nan
*;*;,Toyota;Subcompact;,Year,0.49407625891928647
*;*;,Toyota;SUV;,Year,0.8593199411678719
*;*;,Toyota;Pickup;,Year,nan
*;*;,Toyota;MPV;,Year,nan
*;*;,Volkswagen;Compact;,Year,-0.05823412071252639
*;*;,Volkswagen;Fullsize;,Year,nan
*;*;,Volkswagen;Midsize;,Year,0.18777601082595619
*;*;,Volkswagen;Sporty;,Year,0.7438973954005494
*;*;,Volkswagen;Subcompact;,Year,0.6083794832752765
*;*;,Volkswagen;SUV;,Year,-0.08112240410079682
*;*;,Volkswagen;Pickup;,Year,nan
*;*;,Volkswagen;MPV;,Year,nan
BMW;*;,Ford;*;,Year,0.6757210346896912
BMW;*;,GMC;*;,Year,0.9259889368111472
BMW;*;,Honda;*;,Year,0.6627914420950451
BMW;*;,Hyundai;*;,Year,-0.07337509557143987
BMW;*;,Mazda;*;,Year,0.980957804639326
BMW;*;,Toyota;*;,Year,0.7414591364354388
BMW;*;,Volkswagen;*;,Year,0.45123271200539244
BMW;*;,*;Compact;,Year,0.7960188475800468
BMW;*;,*;Fullsize;,Year,0.94456733891841
BMW;*;,*;Midsize;,Year,0.9424678107036445
BMW;*;,*;Sporty;,Year,0.9131293438471704
BMW;*;,*;Subcompact;,Year,0.5347159674695332
BMW;*;,*;SUV;,Year,0.8363170697071534
BMW;*;,*;Pickup;,Year,0.9843988276457731
BMW;*;,*;MPV;,Year,-0.4014024547482925
BMW;*;,BMW;Compact;,Year,0.8949916659058585
BMW;*;,BMW;Fullsize;,Year,0.9044272960530771
BMW;*;,BMW;Midsize;,Year,-0.7238119773966601
BMW;*;,BMW;Sporty;,Year,0.8986415257313061
BMW;*;,BMW;Subcompact;,Year,-0.23564743590480086
BMW;*;,BMW;SUV;,Year,0.7230535450016609
BMW;*;,BMW;Pickup;,Year,nan
BMW;*;,BMW;MPV;,Year,nan
BMW;*;,Ford;Compact;,Year,0.3528381712768023
BMW;*;,Ford;Fullsize;,Year,0.9418456890817499
BMW;*;,Ford;Midsize;,Year,-0.3844574530918382
BMW;*;,Ford;Sporty;,Year,0.9145591510463844
BMW;*;,Ford;Subcompact;,Year,0.02180785511861194
BMW;*;,Ford;SUV;,Year,0.7404803732490668
BMW;*;,Ford;Pickup;,Year,0.8735523775006555
BMW;*;,Ford;MPV;,Year,nan
BMW;*;,GMC;Compact;,Year,nan
BMW;*;,GMC;Fullsize;,Year,nan
BMW;*;,GMC;Midsize;,Year,nan
BMW;*;,GMC;Sporty;,Year,nan
BMW;*;,GMC;Subcompact;,Year,nan
BMW;*;,GMC;SUV;,Year,0.5807723958929633
BMW;*;,GMC;Pickup;,Year,0.9779847221570871
BMW;*;,GMC;MPV;,Year,nan
BMW;*;,Honda;Compact;,Year,nan
BMW;*;,Honda;Fullsize;,Year,nan
BMW;*;,Honda;Midsize;,Year,0.6359596969668383
BMW;*;,Honda;Sporty;,Year,nan
BMW;*;,Honda;Subcompact;,Year,0.47055974261448946
BMW;*;,Honda;SUV;,Year,0.9879089002212008
BMW;*;,Honda;Pickup;,Year,nan
BMW;*;,Honda;MPV;,Year,nan
BMW;*;,Hyundai;Compact;,Year,-0.22769963544519076
BMW;*;,Hyundai;Fullsize;,Year,nan
BMW;*;,Hyundai;Midsize;,Year,0.018479061053084573
BMW;*;,Hyundai;Sporty;,Year,nan
BMW;*;,Hyundai;Subcompact;,Year,-0.9279537820111543
BMW;*;,Hyundai;SUV;,Year,0.6538050154920867
BMW;*;,Hyundai;Pickup;,Year,nan
BMW;*;,Hyundai;MPV;,Year,nan
BMW;*;,Mazda;Compact;,Year,0.9163244017239215
BMW;*;,Mazda;Fullsize;,Year,nan
BMW;*;,Mazda;Midsize;,Year,0.8307186623744407
BMW;*;,Mazda;Sporty;,Year,nan
BMW;*;,Mazda;Subcompact;,Year,0.007938486142856416
BMW;*;,Mazda;SUV;,Year,0.9022148201371443
BMW;*;,Mazda;Pickup;,Year,nan
BMW;*;,Mazda;MPV;,Year,-0.4014024547482925
BMW;*;,Toyota;Compact;,Year,nan
BMW;*;,Toyota;Fullsize;,Year,nan
BMW;*;,Toyota;Midsize;,Year,0.6994692174311032
BMW;*;,Toyota;Sporty;,Year,nan
BMW;*;,Toyota;Subcompact;,Year,0.5391930309234487
BMW;*;,Toyota;SUV;,Year,0.8760798710581967
BMW;*;,Toyota;Pickup;,Year,nan
BMW;*;,Toyota;MPV;,Year,nan
BMW;*;,Volkswagen;Compact;,Year,-0.13078817451757727
BMW;*;,Volkswagen;Fullsize;,Year,nan
BMW;*;,Volkswagen;Midsize;,Year,0.14680853041862962
BMW;*;,Volkswagen;Sporty;,Year,0.7585101616702361
BMW;*;,Volkswagen;Subcompact;,Year,0.6387280479764665
BMW;*;,Volkswagen;SUV;,Year,-0.1409576503052016
BMW;*;,Volkswagen;Pickup;,Year,nan
BMW;*;,Volkswagen;MPV;,Year,nan
Ford;*;,GMC;*;,Year,0.8835685010848442
Ford;*;,Honda;*;,Year,-0.07652284172380847
Ford;*;,Hyundai;*;,Year,0.6663949858710643
Ford;*;,Mazda;*;,Year,0.6680683445472364
Ford;*;,Toyota;*;,Year,0.007907990986582847
Ford;*;,Volkswagen;*;,Year,0.9309229051524401
Ford;*;,*;Compact;,Year,0.9612397047777734
Ford;*;,*;Fullsize;,Year,0.7832802001937529
Ford;*;,*;Midsize;,Year,0.5888300006779816
Ford;*;,*;Sporty;,Year,0.3245316904440591
Ford;*;,*;Subcompact;,Year,-0.1895360663402089
Ford;*;,*;SUV;,Year,0.9405169557612638
Ford;*;,*;Pickup;,Year,0.5874929876322763
Ford;*;,*;MPV;,Year,-0.2605309877372233
Ford;*;,BMW;Compact;,Year,0.36800850382991557
Ford;*;,BMW;Fullsize;,Year,0.5272285280105818
Ford;*;,BMW;Midsize;,Year,-0.19354957378477644
Ford;*;,BMW;Sporty;,Year,0.29916054011211624
Ford;*;,BMW;Subcompact;,Year,-0.6510591032784661
Ford;*;,BMW;SUV;,Year,0.9767820437043317
Ford;*;,BMW;Pickup;,Year,nan
Ford;*;,BMW;MPV;,Year,nan
Ford;*;,Ford;Compact;,Year,0.1639854570863381
Ford;*;,Ford;Fullsize;,Year,0.8055478048878136
Ford;*;,Ford;Midsize;,Year,0.40144316598785035
Ford;*;,Ford;Sporty;,Year,0.3432998367741189
Ford;*;,Ford;Subcompact;,Year,0.7116093400039497
Ford;*;,Ford;SUV;,Year,0.9906531951676854
Ford;*;,Ford;Pickup;,Year,0.8157073470583145
Ford;*;,Ford;MPV;,Year,nan
