project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
ZRH(ZB)-2007-L01-A01-000-17,电梯专业,2020/8/25 0:00,青岛万象城,综合体,19,4,14,1
ZRH(ZB)-2007-L01-A01-000-17,电气专业,2020/8/25 0:00,青岛万象城,综合体,12,0,11,1
ZRH(ZB)-2007-L01-A01-000-18,消防专业,2020/8/25 0:00,沈阳万象城,综合体,59,16,41,2
ZRH(ZB)-2007-L01-A01-000-18,燃气专业,2020/8/25 0:00,沈阳万象城,综合体,16,6,10,0
ZRH(ZB)-2007-L01-A01-000-18,电梯专业,2020/8/25 0:00,沈阳万象城,综合体,33,6,23,4
ZRH(ZB)-2007-L01-A01-000-18,电气专业,2020/8/25 0:00,沈阳万象城,综合体,31,6,22,3
ZRH(ZB)-2007-L01-A01-000-19,消防专业,2020/8/29 0:00,日照万象汇,综合体,106,31,73,2
ZRH(ZB)-2007-L01-A01-000-19,电梯专业,2020/8/29 0:00,日照万象汇,综合体,20,4,15,1
ZRH(ZB)-2007-L01-A01-000-19,电气专业,2020/8/29 0:00,日照万象汇,综合体,1,0,1,0
ZRH(ZB)-2007-L01-A01-000-20,消防专业,2020/8/29 0:00,天津万象城,综合体,93,11,64,18
ZRH(ZB)-2007-L01-A01-000-20,燃气专业,2020/8/29 0:00,天津万象城,综合体,10,2,6,2
ZRH(ZB)-2007-L01-A01-000-20,电梯专业,2020/8/29 0:00,天津万象城,综合体,32,9,22,1
ZRH(ZB)-2007-L01-A01-000-20,电气专业,2020/8/29 0:00,天津万象城,综合体,45,4,39,2
ZRH(ZB)-2007-L01-A01-000-21,消防专业,2020/9/4 0:00,赣州万象城,综合体,70,16,50,4
ZRH(ZB)-2007-L01-A01-000-21,电梯专业,2020/9/4 0:00,赣州万象城,综合体,16,3,12,1
ZRH(ZB)-2007-L01-A01-000-22,在建专业,2020/9/4 0:00,泸州万象汇,综合体,1,0,1,0
ZRH(ZB)-2007-L01-A01-000-22,消防专业,2020/9/4 0:00,泸州万象汇,综合体,55,5,45,5
ZRH(ZB)-2007-L01-A01-000-22,燃气专业,2020/9/4 0:00,泸州万象汇,综合体,6,2,3,1
ZRH(ZB)-2007-L01-A01-000-22,电梯专业,2020/9/4 0:00,泸州万象汇,综合体,21,5,15,1
