project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
ZRH(ZB)-2005-L01-A05-000-020,电梯专业,2020/8/17 0:00,厦门华润大厦,写字楼,14,5,7,2
ZRH(ZB)-2005-L01-A05-000-020,电气专业,2020/8/17 0:00,厦门华润大厦,写字楼,11,5,6,0
ZRH(ZB)-2005-L01-A05-000-021,消防专业,2020/8/18 0:00,汕头幸福里雅居,住宅,42,3,34,5
ZRH(ZB)-2005-L01-A05-000-021,电梯专业,2020/8/18 0:00,汕头幸福里雅居,住宅,14,5,8,1
ZRH(ZB)-2005-L01-A05-000-021,电气专业,2020/8/18 0:00,汕头幸福里雅居,住宅,13,3,9,1
ZRH(ZB)-2005-L01-A05-000-022,消防专业,2020/8/19 0:00,福清中央公园,住宅,37,3,26,8
ZRH(ZB)-2005-L01-A05-000-022,电梯专业,2020/8/19 0:00,福清中央公园,住宅,10,3,6,1
ZRH(ZB)-2005-L01-A05-000-022,电气专业,2020/8/19 0:00,福清中央公园,住宅,18,7,11,0
ZRH(ZB)-2005-L01-A05-000-023,消防专业,2020/8/21 0:00,福州橡树湾橡府,住宅,54,2,43,9
ZRH(ZB)-2005-L01-A05-000-023,电气专业,2020/8/21 0:00,福州橡树湾橡府,住宅,10,2,8,0
ZRH(ZB)-2005-L01-A05-000-024,消防专业,2020/9/1 0:00,长沙凤凰城二期,住宅,32,3,27,2
ZRH(ZB)-2005-L01-A05-000-024,电气专业,2020/9/1 0:00,长沙凤凰城二期,住宅,5,2,3,0
ZRH(ZB)-2005-L01-A05-000-025,消防专业,2020/9/2 0:00,武汉凤凰城,住宅,34,3,25,6
ZRH(ZB)-2005-L01-A05-000-025,电梯专业,2020/9/2 0:00,武汉凤凰城,住宅,15,5,8,2
ZRH(ZB)-2005-L01-A05-000-025,电气专业,2020/9/2 0:00,武汉凤凰城,住宅,13,5,8,0
ZRH(ZB)-2005-L01-A05-000-026,消防专业,2020/9/3 0:00,南昌华润紫云府,综合体,35,4,28,3
ZRH(ZB)-2005-L01-A05-000-026,电梯专业,2020/9/3 0:00,南昌华润紫云府,综合体,17,6,6,5
ZRH(ZB)-2005-L01-A05-000-026,电气专业,2020/9/3 0:00,南昌华润紫云府,综合体,22,10,12,0
ZRH(ZB)-2005-L01-A05-000-027,消防专业,2020/9/4 0:00,赣州华润大厦C座,写字楼,28,4,18,6
ZRH(ZB)-2005-L01-A05-000-027,电梯专业,2020/9/4 0:00,赣州华润大厦C座,写字楼,11,5,6,0
ZRH(ZB)-2005-L01-A05-000-027,电气专业,2020/9/4 0:00,赣州华润大厦C座,写字楼,9,3,6,0
ZRH(ZB)-2005-L01-A05-000-028,消防专业,2020/9/7 0:00,武汉东风阳光城,住宅,66,4,49,13
ZRH(ZB)-2005-L01-A05-000-028,电梯专业,2020/9/7 0:00,武汉东风阳光城,住宅,19,4,11,4
ZRH(ZB)-2005-L01-A05-000-028,电气专业,2020/9/7 0:00,武汉东风阳光城,住宅,24,8,16,0
