Registration,Engine Type,Body,Brand,Year,EngineV,Model,breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure
*,*,*,Mercedes-Benz,*,*,*,Engine Type,Diesel,0.6158337651848858,0.204472049689441,attribution,point,0.1259207922353195,Mileage
yes,*,*,Volkswagen,*,*,*,Engine Type,Diesel,0.6222910135531962,0.20173913043478262,attribution,point,0.12554044795160132,Mileage
*,Petrol,*,*,*,*,*,Registration,yes,0.9232820300638402,0.36472049689440994,attribution,point,0.33673988077856337,Mileage
yes,*,*,Mercedes-Benz,*,*,*,Engine Type,Diesel,0.5895443283149451,0.18782608695652173,attribution,point,0.11073180427480707,Mileage
yes,*,*,Renault,*,*,*,Engine Type,Diesel,0.8263138673476029,0.10434782608695652,attribution,point,0.08622405572322812,Mileage
yes,*,*,Renault,*,*,*,Year,-1,0.39005174874179227,0.10434782608695652,trend,shape,0.040701052042621796,Price
yes,*,*,*,*,2.5,*,Year,-1,0.6574550663137939,0.06260869565217392,trend,shape,0.041162404151820146,Price
yes,Gas,*,*,*,*,*,Year,-1,0.3132795533850854,0.14062111801242236,trend,shape,0.04405372104744306,Price
*,Diesel,*,Mercedes-Benz,*,*,*,Year,-1,0.38097033909940325,0.11105590062111802,trend,shape,0.04230900411861696,Price
*,*,*,*,*,1.6,*,Year,-1,0.5366883606195862,0.07751552795031055,trend,shape,0.041601681618213884,Price
*,*,other,*,*,*,*,Year,-1,0.5119834997759103,0.09788819875776397,trend,shape,0.050117142586759915,Price
*,Gas,*,*,*,*,*,Year,-1,0.317934004111879,0.14658385093167703,trend,shape,0.04660399066484686,Price
yes,Petrol,*,BMW,*,*,*,Year,-1,0.621398306328264,0.06881987577639752,trend,shape,0.04276455424917494,Price
yes,*,sedan,BMW,*,*,*,Year,-1,0.6338839773249905,0.07229813664596273,trend,shape,0.0458286304103285,Price
yes,*,*,Mercedes-Benz,*,*,*,Year,-1,0.3607365037935403,0.18782608695652173,trend,shape,0.06775572592991713,Price
*,*,*,Renault,*,*,*,Year,-1,0.39574342602663837,0.11055900621118013,trend,shape,0.04375299989611282,Price
*,Diesel,*,*,*,3.0,*,Year,-1,0.6308787316749558,0.084472049689441,trend,shape,0.05329161957005838,Price
yes,*,*,Audi,*,*,*,Year,-1,0.6953230374032082,0.08149068322981366,trend,shape,0.056662349383416716,Price
