Year,Brand,Category,breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure
*,GMC,SUV,Year,2011,0.9073751909267287,0.07272727272727272,outlier,shape,0.06599092297648936,Sales
*,*,*,Year,2007,0.9443710504845318,1.0,outlier,shape,0.9443710504845318,Sales
*,*,Compact,Year,2011,0.8535802593401708,0.09454545454545454,outlier,shape,0.08070213361034342,Sales
*,Volkswagen,*,Year,2011,0.9298618972662657,0.12727272727272726,outlier,shape,0.11834605965207017,Sales
*,Honda,SUV,Year,2007,0.959414881095486,0.03636363636363636,outlier,shape,0.034887813858017674,Sales
*,Toyota,*,Year,2007,0.9405691213878906,0.12727272727272726,outlier,shape,0.1197087972675497,Sales
*,*,Fullsize,Year,2007,0.93831478582738,0.05454545454545454,outlier,shape,0.051180806499675276,Sales
*,*,Pickup,Year,2007,0.9483132912935736,0.05454545454545454,outlier,shape,0.05172617952510401,Sales
*,Hyundai,SUV,Year,2007,0.9145358758333991,0.03636363636363636,outlier,shape,0.03325585003030542,Sales
*,BMW,*,Year,2007,0.9556618497906914,0.16363636363636364,outlier,shape,0.15638102996574949,Sales
*,BMW,Sporty,Year,2007,0.9631839402785854,0.03636363636363636,outlier,shape,0.035024870555584925,Sales
*,Honda,*,Year,2007,0.8981598538420601,0.09090909090909091,outlier,shape,0.08165089580382365,Sales
*,Mazda,Subcompact,Year,2011,0.9769626883741591,0.01818181818181818,outlier,shape,0.017762957970439256,Sales
*,GMC,*,Year,2007,0.9138334386762303,0.10909090909090909,outlier,shape,0.09969092058286148,Sales
*,BMW,Fullsize,Year,2007,0.9421858974744288,0.01818181818181818,outlier,shape,0.01713065268135325,Sales
*,BMW,SUV,Year,2011,0.9236421390848595,0.05454545454545454,outlier,shape,0.050380480313719604,Sales
*,Toyota,SUV,Year,2007,0.9665994975664666,0.07272727272727272,outlier,shape,0.0702981452775612,Sales
*,Ford,*,Year,2011,0.9267793543220184,0.2,outlier,shape,0.1853558708644037,Sales
*,*,Sporty,Year,2007,0.9671456381938911,0.07272727272727272,outlier,shape,0.07033786459591936,Sales
*,Mazda,*,Year,2007,0.9315938552630926,0.09090909090909091,outlier,shape,0.08469035047846296,Sales
2007,*,MPV,Brand,Mazda,0.9522096477271853,0.0036363636363636364,attribution,point,0.0034625805371897647,Sales
2008,*,MPV,Brand,Mazda,0.9522096477271853,0.0036363636363636364,attribution,point,0.0034625805371897647,Sales
2009,*,MPV,Brand,Mazda,0.9522096477271853,0.0036363636363636364,attribution,point,0.0034625805371897647,Sales
2011,*,MPV,Brand,Mazda,0.9522096477271853,0.0036363636363636364,attribution,point,0.0034625805371897647,Sales
2009,*,Fullsize,Brand,Ford,0.9060199256900578,0.01090909090909091,attribution,point,0.009883853734800632,Sales
2009,*,Pickup,Brand,GMC,0.7332997007032983,0.01090909090909091,attribution,point,0.007999633098581437,Sales
2010,*,MPV,Brand,Mazda,0.9522096477271853,0.0036363636363636364,attribution,point,0.0034625805371897647,Sales
2008,*,Pickup,Brand,GMC,0.7841321752122508,0.01090909090909091,attribution,point,0.008554169184133646,Sales
2011,*,Pickup,Brand,GMC,0.7383580911703119,0.01090909090909091,attribution,point,0.008054815540039766,Sales
2009,GMC,*,Category,Pickup,0.5221471890573515,0.02181818181818182,attribution,point,0.011392302306705852,Sales
2009,Mazda,*,Category,Compact,0.5773008520585116,0.01818181818181818,attribution,point,0.010496379128336574,Sales
2007,*,Pickup,Brand,GMC,0.8061227917639089,0.01090909090909091,attribution,point,0.008794066819242644,Sales
2010,Mazda,*,Category,Compact,0.5808347388990421,0.01818181818181818,attribution,point,0.01056063161634622,Sales
2010,*,Fullsize,Brand,Ford,0.9050700776759413,0.01090909090909091,attribution,point,0.009873491756464814,Sales
2010,*,Pickup,Brand,GMC,0.761522604428228,0.01090909090909091,attribution,point,0.008307519321035215,Sales
2008,*,Sporty,Brand,Ford,0.8274751164386511,0.014545454545454545,attribution,point,0.012036001693653106,Sales
2011,*,Fullsize,Brand,Ford,0.9125788713339267,0.01090909090909091,attribution,point,0.009955405869097383,Sales
2008,*,Fullsize,Brand,Ford,0.9042471892914321,0.01090909090909091,attribution,point,0.00986451479227017,Sales
2007,*,Fullsize,Brand,Ford,0.9073061268454995,0.01090909090909091,attribution,point,0.009897885020132722,Sales
*,GMC,*,Category,SUV,0.5109127096459819,0.10909090909090909,attribution,point,0.05573593196137984,Sales
2007,GMC,*,Category,Pickup,0.5524596253108363,0.02181818181818182,attribution,point,0.012053664552236429,Sales
2007,*,Sporty,Brand,Ford,0.8481540669169911,0.014545454545454545,attribution,point,0.012336786427883507,Sales
2009,*,Sporty,Brand,Ford,0.8595820564822305,0.014545454545454545,attribution,point,0.012503011730650626,Sales
*,*,Fullsize,Brand,Ford,0.90721081367107,0.05454545454545454,attribution,point,0.049484226200240185,Sales
2007,Mazda,*,Category,Compact,0.5150464092977446,0.01818181818181818,attribution,point,0.0093644801690499,Sales
2007,BMW,*,Category,Compact,0.6793240595362638,0.03272727272727273,attribution,point,0.022232423766641363,Sales
2010,GMC,*,Category,SUV,0.5900600641232819,0.02181818181818182,attribution,point,0.01287403776268979,Sales
*,*,Pickup,Brand,GMC,0.7701254615159614,0.05454545454545454,attribution,point,0.042006843355416074,Sales
2010,*,Sporty,Brand,Ford,0.878965228651886,0.014545454545454545,attribution,point,0.012784948780391069,Sales
2008,GMC,*,Category,Pickup,0.5753824475296752,0.02181818181818182,attribution,point,0.012553798855192913,Sales
2008,Mazda,*,Category,Compact,0.5196465585588493,0.01818181818181818,attribution,point,0.009448119246524533,Sales
*,*,Sporty,Brand,Ford,0.8530147869913188,0.07272727272727272,attribution,point,0.062037439053914095,Sales
2011,GMC,*,Category,SUV,0.6089547337381914,0.02181818181818182,attribution,point,0.013286285099742359,Sales
*,*,MPV,Brand,Mazda,0.9522096477271853,0.01818181818181818,attribution,point,0.017312902685948824,Sales
2011,*,Sporty,Brand,Ford,0.8608583264944578,0.014545454545454545,attribution,point,0.012521575658101204,Sales
*,Mazda,*,Category,Compact,0.5345772305921259,0.09090909090909091,attribution,point,0.04859793005382963,Sales
*,Mazda,Subcompact,Year,2011,0.6214584276949228,0.01818181818181818,attribution,point,0.011299244139907686,Sales
