Subspace,Breakdown,Sig,Impact,Type,Breakdown_value
*;*;*,Brand,0.6095743193131509,0.9999999999999998,Point,Mercedes-Benz
*;*;*,Body,0.8727247217581039,0.9999999999999998,Point,crossover
*;*;*,Year,1.0,1.0,Point,2016
BMW;*;*,Body,0.8859950824373298,0.19421955659525494,Point,crossover
BMW;*;*,Year,0.810114468303618,0.19421955659525494,Point,2016
Mercedes-Benz;*;*,Body,0.9950733519849372,0.3218145261348547,Point,crossover
Mercedes-Benz;*;*,Year,0.9993176469814522,0.3218145261348547,Point,2016
Audi;*;*,Body,0.9999810242681435,0.10085118021047185,Point,sedan
Audi;*;*,Year,0.7029401593610871,0.10085118021047185,Point,2013
Toyota;*;*,Body,0.5366771267754769,0.14580479026047813,Point,crossover
Toyota;*;*,Year,0.9802444383491996,0.14580479026047818,Point,2016
Renault;*;*,Body,0.4532631382714345,0.04521556919192315,Point,van
Renault;*;*,Year,0.5391214470611406,0.04521556919192315,Point,2012
Volkswagen;*;*,Body,0.4950626439162529,0.14707011746504156,Point,sedan
Volkswagen;*;*,Year,0.861714611284786,0.14707011746504156,Point,2012
Mitsubishi;*;*,Body,0.49218882204811465,0.045024260141975574,Point,crossover
Mitsubishi;*;*,Year,0.4892184425712448,0.045024260141975574,Point,2008
*;sedan;*,Brand,0.6179067305588498,0.30834447584797353,Point,Mercedes-Benz
*;sedan;*,Year,0.9939884192793259,0.3083444758479736,Point,2011
*;van;*,Brand,1.0,0.10015311126212663,Point,Volkswagen
*;van;*,Year,0.6147239351705349,0.10015311126212664,Point,2013
*;crossover;*,Brand,0.791444362283545,0.3928616715493994,Point,Mercedes-Benz
*;crossover;*,Year,0.9996767980102969,0.3928616715493993,Point,2016
*;vagon;*,Brand,0.49556926949418223,0.048001974270913045,Point,Audi
*;vagon;*,Year,0.5185231219133005,0.048001974270913045,Point,2012
*;other;*,Brand,0.4505164925735041,0.11591366890250078,Point,Mercedes-Benz
*;other;*,Year,0.8548199134580314,0.11591366890250078,Point,2016
*;hatch;*,Brand,0.45687567458765876,0.03472509816708658,Point,Volkswagen
*;hatch;*,Year,0.5003607926661208,0.03472509816708658,Point,2013
*;*;1991,Brand,0.45263975777613075,0.0014363647479360296,Point,BMW
*;*;1991,Body,0.4513407275329647,0.0014363647479360296,Point,sedan
*;*;1999,Brand,0.45514351885256066,0.006919182295199521,Point,Mercedes-Benz
*;*;1999,Body,0.4525645427948233,0.006919182295199521,Point,sedan
*;*;2003,Brand,0.4546774129026405,0.016701221739534998,Point,Mercedes-Benz
*;*;2003,Body,0.4544605452166822,0.016701221739534998,Point,sedan
*;*;2007,Brand,0.457850828829203,0.061539273379504204,Point,Mercedes-Benz
*;*;2007,Body,0.49695459301105227,0.061539273379504204,Point,sedan
*;*;2011,Brand,0.48244412437543727,0.09308453099057831,Point,Mercedes-Benz
*;*;2011,Body,0.47922921274327834,0.09308453099057831,Point,sedan
*;*;2016,Brand,0.5393812211470332,0.1898017964436879,Point,Mercedes-Benz
