Producer Type,Energy Source,Year,State,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Producer Type,Correlated Energy Source,Correlated Year,Correlated State,measure
*,*,*,LA,Year,2011,0.365578459,0.022110992,top1,point,0.008083302,,,,,CO2 (kt)
*,*,*,WY,Year,2013,0.473505262,0.012391875,top1,point,0.005867618,,,,,CO2 (kt)
*,Coal,1994,*,Producer Type,Electric Utility,0.99096649,0.005928662,top1,point,0.005875105,,,,,CO2 (kt)
*,*,*,IA,Year,2010,0.26633186,0.020944698,top1,point,0.00557824,,,,,CO2 (kt)
*,*,*,AL,Year,2007,0.243071331,0.021284867,top1,point,0.005173741,,,,,CO2 (kt)
*,*,*,GA,Year,2007,0.247968815,0.022937117,top1,point,0.00568769,,,,,CO2 (kt)
Industrial Non-Cogen,Natural Gas,*,*,Year,2013,0.452183075,0.021041889,top1,point,0.009514786,,,,,CO2 (kt)
*,*,*,MI,Year,1998,0.365972875,0.033968316,top1,point,0.012431482,,,,,CO2 (kt)
Industrial Cogen,Natural Gas,*,*,Year,1999,0.314609722,0.054524249,top1,point,0.017153859,,,,,CO2 (kt)
*,*,*,CT,Year,1997,0.312523293,0.019681213,top1,point,0.006150837,,,,,CO2 (kt)
*,*,*,FL,Year,2005,0.264515668,0.031732919,top1,point,0.008393854,,,,,CO2 (kt)
*,*,*,MN,Year,2003,0.315069688,0.028574205,top1,point,0.009002866,,,,,CO2 (kt)
*,Coal,*,MI,Producer Type,Electric Utility,0.983621337,0.006220235,top1,point,0.006118356,,,,,CO2 (kt)
*,Coal,1993,*,Producer Type,Electric Utility,0.989372242,0.005782875,top1,point,0.005721416,,,,,CO2 (kt)
Commercial Cogen,Other,*,*,Year,1997,0.426369026,0.013218,top1,point,0.005635746,,,,,CO2 (kt)
*,Coal,*,IN,Producer Type,Electric Utility,0.963795985,0.005491301,top1,point,0.005292494,,,,,CO2 (kt)
*,*,*,UT,Year,2008,0.360184823,0.015550588,top1,point,0.005601086,,,,,CO2 (kt)
*,Petroleum,*,MN,Producer Type,Electric Utility,0.928680191,0.007678103,top1,point,0.007130502,,,,,CO2 (kt)
*,*,*,SD,Producer Type,Electric Utility,0.999564722,0.005782875,top1,point,0.005780358,,,,,CO2 (kt)
Electric Utility,*,*,*,Year,1998,0.278032735,0.211147828,top1,point,0.058706008,,,,,CO2 (kt)
*,Coal,*,*,Year,2007,0.255885721,0.162406453,top1,point,0.041557492,,,,,CO2 (kt)
Commercial Cogen,*,*,*,Year,1997,0.288440509,0.117990087,top1,point,0.034033121,,,,,CO2 (kt)
*,*,*,CA,Year,2001,0.430354524,0.038925066,top1,point,0.016751578,,,,,CO2 (kt)
Industrial Cogen,*,*,*,Year,1999,0.242056721,0.250704636,top1,point,0.060684742,,,,,CO2 (kt)
*,Natural Gas,*,*,Year,2015,0.103243858,0.265866459,top1,point,0.027449079,,,,,CO2 (kt)
Industrial Cogen,Coal,*,*,Year,1997,0.182572293,0.043979007,top1,point,0.008029348,,,,,CO2 (kt)
*,*,*,MO,Producer Type,Electric Utility,0.999267618,0.017591603,top1,point,0.017578719,,,,,CO2 (kt)
*,*,*,WI,Year,2005,0.361261991,0.030129264,top1,point,0.010884558,,,,,CO2 (kt)
Electric Utility,Natural Gas,*,*,Year,2015,0.322649531,0.057828749,top1,point,0.018658419,,,,,CO2 (kt)
*,*,*,TX,Year,2011,0.350376218,0.031246963,top1,point,0.010948193,,,,,CO2 (kt)
*,*,*,UT,Producer Type,Electric Utility,0.976896647,0.015550588,top1,point,0.015191317,,,,,CO2 (kt)
*,*,*,RI,Producer Type,Utility Sector Non-Cogen,0.944055907,0.010302265,top1,point,0.009725914,,,,,CO2 (kt)
*,Other,*,*,Year,2006,0.163931444,0.103994557,top1,point,0.017047978,,,,,CO2 (kt)
*,*,*,VT,Producer Type,Electric Utility,0.9939255,0.006997765,top1,point,0.006955257,,,,,CO2 (kt)
