Producer Type,Energy Source,Year,State,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Producer Type,Correlated Energy Source,Correlated Year,Correlated State,measure
*,Petroleum,*,*,Producer Type,Electric Utility,0.687214702,0.24769171,attribution,point,0.170217384,,,,,CO2 (kt)
*,*,2004,*,Energy Source,Coal,0.841343204,0.041403441,attribution,point,0.034834503,,,,,CO2 (kt)
*,*,2005,*,Energy Source,Coal,0.839289002,0.041111867,attribution,point,0.034504738,,,,,CO2 (kt)
*,*,2012,*,Energy Source,Coal,0.768189654,0.043201477,attribution,point,0.033186928,,,,,CO2 (kt)
*,*,*,*,Producer Type,Electric Utility,0.790181156,1,attribution,point,0.790181156,,,,,CO2 (kt)
*,*,2014,*,Energy Source,Coal,0.789321912,0.043590242,attribution,point,0.034406733,,,,,CO2 (kt)
*,*,2007,*,Energy Source,Coal,0.838855019,0.040723102,attribution,point,0.034160779,,,,,CO2 (kt)
Utility Sector Cogen,*,*,*,Year,-1,0.733994022,0.162406453,correlation,compound shape,0.119205366,*,Coal,*,*,CO2 (kt)
Electric Utility,*,*,*,Year,-1,0.776437484,0.24769171,correlation,compound shape,0.192317128,*,Petroleum,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.180739948,1,correlation,compound shape,0.180739948,*,*,*,MA,CO2 (kt)
*,*,*,*,Year,-1,0.21684273,1,correlation,compound shape,0.21684273,*,*,*,CT,CO2 (kt)
Industrial Cogen,*,*,*,Year,-1,0.798921368,0.250704636,correlation,compound shape,0.200293291,*,Petroleum,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.485839371,1,correlation,compound shape,0.485839371,*,*,*,TN,CO2 (kt)
*,*,*,*,Year,-1,0.280012977,1,correlation,compound shape,0.280012977,*,*,*,AR,CO2 (kt)
*,*,*,*,Year,-1,0.451799162,1,correlation,compound shape,0.451799162,*,*,*,CA,CO2 (kt)
*,*,*,*,Year,-1,0.241988972,1,correlation,compound shape,0.241988972,*,Natural Gas,*,*,CO2 (kt)
Utility Sector Non-Cogen,*,*,*,Year,-1,0.795336737,0.265866459,correlation,compound shape,0.211453362,*,Natural Gas,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.257082114,1,correlation,compound shape,0.257082114,*,*,*,ID,CO2 (kt)
*,*,*,*,Year,-1,0.637321277,1,correlation,compound shape,0.637321277,*,*,*,WA,CO2 (kt)
*,*,*,*,Year,-1,0.619938777,1,correlation,compound shape,0.619938777,*,*,*,LA,CO2 (kt)
*,*,*,*,Year,-1,0.592043246,1,correlation,compound shape,0.592043246,*,*,*,MD,CO2 (kt)
*,*,*,*,Year,-1,0.59983497,1,correlation,compound shape,0.59983497,*,*,*,AZ,CO2 (kt)
*,*,*,*,Year,-1,0.750722396,1,correlation,compound shape,0.750722396,*,*,*,MO,CO2 (kt)
*,*,*,*,Year,-1,0.775030258,1,correlation,compound shape,0.775030258,*,*,*,MS,CO2 (kt)
*,*,*,*,Year,-1,0.393160723,1,correlation,compound shape,0.393160723,*,*,*,NE,CO2 (kt)
*,*,*,*,Year,-1,0.778044498,1,correlation,compound shape,0.778044498,*,*,*,NJ,CO2 (kt)
Electric Utility,*,*,*,Year,-1,0.898743004,0.250704636,correlation,compound shape,0.225319038,Industrial Cogen,*,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.692706288,1,correlation,compound shape,0.692706288,*,*,*,OH,CO2 (kt)
*,*,*,*,Year,-1,0.671883314,1,correlation,compound shape,0.671883314,*,*,*,OR,CO2 (kt)
*,*,*,*,Year,-1,0.445019753,1,correlation,compound shape,0.445019753,*,*,*,RI,CO2 (kt)
*,*,*,*,Year,-1,0.823480368,1,correlation,compound shape,0.823480368,*,*,*,TX,CO2 (kt)
*,*,*,*,Year,-1,0.739439629,1,correlation,compound shape,0.739439629,*,*,*,UT,CO2 (kt)
*,*,*,*,Year,-1,0.930345185,1,correlation,compound shape,0.930345185,*,*,*,KS,CO2 (kt)
*,*,*,*,Year,-1,0.629975069,1,correlation,compound shape,0.629975069,*,*,*,AK,CO2 (kt)
*,*,*,*,Year,-1,0.619638221,1,correlation,compound shape,0.619638221,Utility Sector Non-Cogen,*,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.90442036,1,correlation,compound shape,0.90442036,*,*,*,WI,CO2 (kt)
*,*,*,*,Year,-1,0.622951431,1,correlation,compound shape,0.622951431,*,*,*,ME,CO2 (kt)
*,*,*,*,Year,-1,0.668186487,1,correlation,compound shape,0.668186487,*,*,*,MI,CO2 (kt)
*,*,*,*,Year,-1,0.915164764,1,correlation,compound shape,0.915164764,*,Coal,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.825374379,1,correlation,compound shape,0.825374379,*,*,*,MN,CO2 (kt)
*,*,*,*,Year,-1,0.855418779,1,correlation,compound shape,0.855418779,*,*,*,CO,CO2 (kt)
*,*,*,*,Year,-1,0.946311411,1,correlation,compound shape,0.946311411,*,*,*,NC,CO2 (kt)
*,*,*,*,Year,-1,0.656332756,1,correlation,compound shape,0.656332756,Commercial Cogen,*,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.693851655,1,correlation,compound shape,0.693851655,*,*,*,NH,CO2 (kt)
*,*,*,*,Year,-1,0.869766098,1,correlation,compound shape,0.869766098,*,*,*,VA,CO2 (kt)
*,*,*,*,Year,-1,0.801375654,1,correlation,compound shape,0.801375654,*,*,*,NM,CO2 (kt)
*,*,*,*,Year,-1,0.954473232,1,correlation,compound shape,0.954473232,*,*,*,FL,CO2 (kt)
*,*,*,*,Year,-1,0.535626465,1,correlation,compound shape,0.535626465,*,*,*,NV,CO2 (kt)
*,*,*,*,Year,-1,0.891888303,1,correlation,compound shape,0.891888303,*,*,*,GA,CO2 (kt)
*,*,*,*,Year,-1,0.833431213,1,correlation,compound shape,0.833431213,*,*,*,OK,CO2 (kt)
*,*,*,*,Year,-1,0.838397306,1,correlation,compound shape,0.838397306,*,*,*,IA,CO2 (kt)
*,*,*,*,Year,-1,0.830274508,1,correlation,compound shape,0.830274508,*,*,*,PA,CO2 (kt)
*,*,*,*,Year,-1,0.679015142,1,correlation,compound shape,0.679015142,*,Other,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.927588124,1,correlation,compound shape,0.927588124,*,*,*,SC,CO2 (kt)
*,*,*,*,Year,-1,0.897085111,1,correlation,compound shape,0.897085111,Utility Sector Cogen,*,*,*,CO2 (kt)
*,*,*,*,Year,-1,0.844153156,1,correlation,compound shape,0.844153156,*,*,*,IL,CO2 (kt)
*,*,*,*,Year,-1,0.946828238,1,correlation,compound shape,0.946828238,*,*,*,IN,CO2 (kt)
